ADGRE2 ADGRE3 ADGRE5 CLEC17A DDX39A DNAJB1 GIPC1 NDUFB7 PKN1 PTGER1 TECR ZNF333
0.222733426310625 0.206131555870698 0.10046132211305 0.649666290073243 0.661797650350945 0.746526987825161 0.868963673550868 0.355223780878987 0.968718947315736 0.322060027323991 0.00165121558863145 0.720741123470988
0.480848263735278 0.0692086808321806 0.0110581808593662 0.465437729561433 0.786482436169843 0.152905918343039 0.883008981865179 1 0.964859005224174 0.567057993190194 0.179960665321615 0.731157932052575
0.887278243050093 0.0406763878497612 0.334527503589042 0.687249832684433 0.417452922461679 0.652511215273581 0.452759238698795 0.386360413650359 0.747165393882484 0.780858907350894 0.220152059528269 0.282028280408129
0.733427262542778 0.290565795758536 0.00230980793675113 0.140044842036602 0.527708082048432 0.533470574302518 0.77483595706443 NA 0.308672935427171 0.1146907917786 0.0172546095650504 0.525985589413532
0.686339522316636 0.278793000015316 0.00825934130606515 0.457672584698369 0.252707980712757 0.0925811864273423 0.116631041720352 0.367380415345013 0.988163764986717 0.520729785862886 0.00742471558372147 0.145514752209392
0.136102527927594 0.00899915780212678 0.548373233883275 0.111759506196231 0.843576605266556 0.760030673295144 0.272331324649137 0.380611694274894 0.0657525795112651 0.305726424240353 0.0419955741056932 0.244530702051929
0.754516483040886 0.0755877471473015 0.464995217903397 0.752237118303035 0.512605760372947 0.924539395448476 0.306333574008523 0.312847457238112 0.977606354566891 0.0224697547081601 0.940537259815517 0.952769462888168
0.569012126800749 0.435883459546993 0.0494154467670288 0.544580422681823 0.482420438923291 0.845892298967573 0.387230601847981 1 0.380239495506573 0.0650438554237854 0.393682606013944 0.974271701321596
0.833783398693775 4.05964353146913e-05 0.0557624223118119 0.890850238451353 0.479243185195089 0.554459235229369 0.899226505887378 0.729885751685711 0.887651030946751 0.1766452784105 0.629339629882852 0.735813059492335
0.0734344722873717 0.00826615873105161 0.222024721502177 0.647267770087338 0.529397132491437 0.718010160693388 0.237780834083437 0.212870933452291 0.00581195686579692 0.930379831996609 0.246952394616376 0.568807036676837
0.983709652039195 0.134502173619948 0.0743744363119276 0.685647856682337 0.836838280221509 0.46370410390884 0.108843817769123 0.0797977837789085 0.533772656025695 0.844513248785595 0.0165699937261062 0.870589535074231
0.340394420310419 0.417136451197642 0.0157558360350614 0.132716212637496 0.750554671934007 0.776898987455824 0.189024254571835 0.569255203809204 0.677101541014047 0.264536916649921 0.000703411244950902 0.838566301576431
0.301208181413485 0.0394032178477783 0.111556033761571 0.223600161523571 0.636895274262873 0.921380181916137 0.342049695126446 0.32008404108867 0.922350677469139 0.349503623281859 0.59712888357153 0.463608956976429
0.00287752512529229 0.303666510897611 0.978169825606251 0.510878825712023 0.123365138525539 0.50167884724516 0.408203741402038 0.628526808662385 0.925865080147915 0.763697326808457 0.675617545063217 0.0899653943044985
0.564464694744053 0.147954600079511 0.593043777656161 0.197939043230969 0.28192577691353 0.113649638427365 0.496829740829517 0.429935801398708 0.332485755682571 0.563928228042693 0.0175135364413489 0.111688889085828
0.196898518565769 0.840247116286781 0.00584220353933884 0.413761604279619 0.374422939117983 0.273067058488051 0.249177616758713 NA 0.602772748684186 0.64672302427253 0.112733777814132 0.783930425917347
0.694635582505993 0.192740450926367 0.0295500024448937 0.721606565294794 0.598670532156827 0.408916164255303 0.887446538504433 NA 0.290550908532854 0.0558168725744899 0.965222684187795 0.300743485768659
0.734610823433479 0.00169708293592453 0.296228959611009 0.863483283805917 0.955819283501892 0.512117265479533 0.330021639414104 NA 0.557911123093976 0.959233452006371 0.990833559305064 0.259995805824481
